SID:030,1,NOTWN5,RW30B,RUZCO,K2,P,C,EY  , ,   ,CF, ,LAS,K2,D, ,      ,3130,0115,3130,0010,B,05000,03700,     ,-,240,    ,   , , , , , , , , ;
SID:040,1,NOTWN5,RW30B,LAS,K2,D, ,VE  ,R,   ,CF,Y,LAS,K2,D, ,      ,0000,0000,1400,0120,+,07000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,5,FLCHR1,ALL,FLCHR,K2,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,5,FLCHR1,ALL,OPNOW,K2,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,5,FLCHR1,ALL,GEOOF,K2,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,5,FLCHR1,ALL,KEEKE,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,10500,     ,     ,-,250,    ,   , , , , , , , , ;
STAR:050,5,FLCHR1,ALL,ECAKO,K2,E,A,EY  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,09000,     ,     ,-,230,    ,   , , , , , , , , ;
STAR:060,5,FLCHR1,ALL,ECAKO,K2,E,A,EE  , ,   ,FM, ,DRK,K2,D, ,      ,2921,1825,1170,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,4,NTNDO1,GUILE,GUILE,K2,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,4,NTNDO1,GUILE,BYSEN,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL240,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,4,NTNDO1,GUILE,KONNG,K2,E,A,EE H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,10000,     ,     ,-,250,    ,   , , , , , , , , ;
